data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
YBR169C	46	56	55	124	135	177
YBR170C	31	37	33	35	38	43
YBR171W	22	24	13	25	15	20
YBR172C	40	59	53	25	27	36
YBR173C	36	26	32	33	37	27
YBR174C	0	0	0	0	0	0
YBR175W	9	9	10	5	10	12
YBR176W	16	22	12	13	15	19
YBR177C	33	55	61	41	49	62
YBR178W	0	0	0	0	0	0
YBR179C	60	60	66	36	39	59
YBR180W	1	2	1	2	2	6
YBR181C	22	31	15	16	17	22
YBR182C	15	11	11	5	13	5
YBR182C-A	0	0	0	1	2	0
YBR183W	13	16	15	24	20	23
YBR184W	14	6	4	2	2	7
YBR185C	36	45	47	24	13	14
YBR186W	2	7	3	4	4	10
YBR187W	30	36	33	23	29	40
YBR188C	9	12	11	11	9	12
YBR189W	45	40	37	35	40	42
YBR190W	0	0	0	0	0	1
YBR191W	35	27	28	16	24	29
YBR191W-A	0	2	1	0	0	1
YBR192W	24	31	26	8	14	16
YBR193C	13	7	10	12	16	21
YBR194W	6	10	4	5	7	11
YBR195C	15	30	24	21	24	26
YBR196C	131	134	134	132	174	166
YBR196C-A	0	1	0	0	1	0
YBR196C-B	0	1	1	0	0	2
YBR197C	13	20	10	9	6	11
YBR198C	36	39	42	41	36	45
YBR199W	46	49	68	58	54	83
YBR200W	35	35	24	31	31	36
YBR200W-A	1	1	2	0	0	1
YBR201W	12	11	9	7	15	19
YBR201C-A	5	1	6	4	7	9
YBR202W	35	47	43	53	49	71
YBR203W	29	37	33	68	69	80
YBR204C	17	29	18	24	25	32
YBR205W	22	33	26	25	25	22
YBR206W	2	3	0	1	0	1
YBR207W	44	46	50	46	55	75
YBR208C	47	43	53	27	82	108
YBR209W	2	1	2	2	2	2
tC(GCA)B	0	0	0	0	0	0
tE(UUC)B	0	0	0	0	0	0
YBR210W	15	19	8	16	10	11
YBR211C	18	15	13	18	11	19
YBR212W	57	63	82	65	90	94
YBR213W	22	29	16	6	5	11
YBR214W	20	37	47	86	86	100
YBR215W	26	28	36	20	23	31
YBR216C	27	35	28	31	27	57
YBR217W	9	7	9	10	6	13
YBR218C	119	125	90	91	102	139
YBR219C	0	0	0	0	0	0
YBR220C	36	28	27	18	19	23
YBR221C	83	68	83	82	77	108
YBR221W-A	0	0	1	3	0	1
YBR222C	82	83	71	106	107	145
YBR223C	10	3	12	14	9	11
YBR223W-A	0	0	0	0	0	0
YBR224W	1	1	0	0	1	1
YBR225W	24	32	20	21	29	37
YBR226C	0	1	0	2	2	1
YBR227C	29	33	21	18	28	34
YBR228W	10	10	13	12	7	21
YBR229C	30	34	32	42	36	67
YBR230C	24	30	35	41	44	48
YBR230W-A	14	14	3	10	9	11
LSR1	17	6	9	13	17	23
YBR231C	13	16	16	14	18	24
YBR232C	0	0	0	0	0	0
YBR233W	18	18	16	13	11	9
YBR233W-A	13	16	7	7	9	10
YBR234C	36	53	45	43	47	59
YBR235W	30	39	30	31	30	61
YBR236C	36	41	22	26	20	30
YBR237W	31	33	23	30	24	48
YBR238C	10	9	8	3	0	9
YBR239C	13	9	9	5	9	6
YBR240C	41	62	47	34	38	36
YBR241C	36	40	46	54	83	99
YBR242W	12	17	16	25	22	29
YBR243C	26	25	26	24	17	24
YBR244W	8	5	4	7	5	11
YBR245C	44	59	39	37	37	43
YBR246W	27	21	8	14	12	15
YBR247C	21	21	19	13	20	28
YBR248C	43	58	40	32	38	43
YBR249C	45	65	61	49	59	69
YBR250W	4	5	3	4	1	9
YBR251W	31	38	32	16	22	20
YBR252W	14	11	13	14	16	12
YBR253W	11	16	10	7	6	15
YBR254C	13	12	7	6	8	12
YBR255W	19	21	26	27	25	43
YBR255C-A	14	15	16	17	19	29
YBR256C	20	32	34	35	37	42
YBR257W	7	17	12	16	18	25
YBR258C	5	3	4	5	3	11
YBR259W	12	21	16	22	16	19
YBR260C	37	37	28	17	28	36
YBR261C	18	19	14	16	16	20
YBR262C	14	23	19	17	12	21
YBR263W	52	54	63	55	47	69
YBR264C	12	16	15	15	13	15
YBR265W	39	29	28	40	24	42
YBR267W	12	15	9	11	15	28
YBR266C	0	0	0	0	0	0
YBR268W	14	12	18	6	7	6
YBR269C	12	18	19	28	13	31
YBR270C	12	15	10	13	12	17
YBR271W	5	11	8	3	8	9
YBR272C	25	28	31	24	27	46
YBR273C	26	44	22	43	49	64
YBR274W	22	23	18	22	19	33
YBR275C	64	64	53	24	30	52
YBR276C	49	58	50	39	42	61
YBR277C	0	0	0	0	0	0
YBR278W	8	8	8	12	12	9
YBR279W	28	38	30	41	36	45
YBR280C	10	20	29	45	50	90
YBR281C	48	51	25	38	28	36
YBR282W	25	30	11	13	9	11
YBR283C	66	70	45	59	54	74
YBR284W	11	15	8	11	7	13
YBR285W	16	8	10	27	14	25
YBR286W	92	81	89	116	120	163
YBR287W	36	48	47	31	47	54
YBR288C	37	23	20	17	21	20
YBR289W	29	64	47	40	29	49
YBR290W	27	26	33	30	30	31
YBR291C	24	45	22	14	15	23
YBR292C	2	4	2	0	2	1
YBR293W	20	32	20	14	21	21
YBR294W	149	182	171	89	82	104
YBR295W	38	51	41	64	74	134
YBR296C	12	10	9	13	13	23
YBR296C-A	1	2	0	0	0	0
YBR297W	32	44	49	45	31	52
YBR298C	47	70	67	138	103	119
YBR298C-A	1	1	0	1	1	0
YBR299W	19	20	20	20	14	12
YBR300C	0	0	0	0	0	0
YBR301W	0	0	0	0	0	0
YBR302C	0	0	0	0	0	0
YCL076W	0	0	0	0	0	0
YCL075W	0	0	0	0	0	0
YCL074W	0	0	0	0	0	0
YCL073C	0	0	0	0	0	0
YCL069W	0	0	0	0	0	0
YCL068C	0	0	0	0	0	0
YCL067C	0	0	0	0	0	0
YCL066W	0	0	0	0	0	0
YCL065W	0	0	0	0	0	0
YCL064C	7	8	8	3	6	1
YCL063W	32	28	26	20	13	23
YCL061C	33	33	39	15	33	34
YCL059C	29	20	23	16	12	28
YCL058C	5	5	3	1	1	1
YCL058W-A	0	0	0	0	0	0
YCL057C-A	26	26	24	21	20	15
YCL057W	62	74	57	65	61	73
YCL056C	9	14	9	12	8	17
YCL055W	34	28	21	27	27	26
YCL054W	25	28	18	28	20	39
YCL052C	49	43	31	33	48	42
YCL051W	18	25	29	18	9	22
YCL050C	38	51	29	37	33	51
YCL049C	17	33	21	17	13	30
YCL048W-A	4	1	2	10	20	25
YCL048W	3	0	5	5	2	5
YCL047C	13	21	11	9	13	19
YCL045C	56	45	56	41	38	50
YCL046W	1	0	0	0	0	1
YCL044C	22	22	14	24	17	23
YCL043C	94	110	90	79	76	120
YCL041C	1	0	0	0	0	0
YCL042W	1	1	0	1	1	0
YCL040W	80	85	103	120	130	136
YCL039W	20	31	35	29	33	49
YCL038C	20	21	23	31	41	45
YCL037C	2	3	0	0	2	1
YCL036W	5	6	1	2	9	18
YCL035C	35	20	19	29	22	39
YCL034W	40	27	36	42	29	39
YCL033C	15	14	22	36	33	28
YCL032W	37	38	33	29	26	43
YCL031C	28	43	17	24	19	26
YCL030C	113	149	117	89	72	113
YCL029C	23	33	26	19	23	26
YCL028W	51	52	60	64	59	69
YCL027W	32	36	16	9	12	11
YCL026C-B	25	23	34	15	13	14
YCL026C-A	3	4	1	0	1	2
YCL025C	64	88	78	47	46	71
YCL023C	0	0	0	0	0	0
YCL024W	27	25	16	9	14	30
YCL022C	0	0	0	0	0	0
tE(UUC)C	0	0	0	0	0	0
YCL021W-A	6	7	4	2	1	7
YCL019W	2	3	0	0	1	6
YCL020W	0	0	0	0	0	0
